iter	Passed	Remaining
0	47	47760
1	48	24284
2	49	16432
3	50	12484
4	50	10137
5	51	8548
6	52	7395
7	52	6541
8	54	5949
9	55	5493
10	56	5035
11	56	4651
12	56	4325
13	57	4046
14	58	3810
15	59	3634
16	59	3450
17	60	3280
18	60	3130
19	61	2995
20	61	2873
21	62	2762
22	62	2659
23	63	2565
24	63	2479
25	64	2400
26	64	2334
27	66	2305
28	66	2240
29	67	2179
30	67	2122
31	68	2068
32	68	2019
33	69	1972
34	69	1928
35	70	1885
36	70	1845
37	71	1807
38	71	1771
39	72	1737
40	72	1706
41	73	1675
42	73	1645
43	74	1616
44	74	1590
45	75	1564
46	75	1539
47	76	1515
48	76	1493
49	77	1471
50	77	1450
51	78	1429
52	78	1410
53	79	1390
54	79	1372
55	80	1356
56	80	1339
57	81	1322
58	81	1306
59	82	1290
60	82	1275
61	83	1261
62	83	1246
63	84	1233
64	84	1219
65	85	1207
66	85	1194
67	86	1184
68	87	1180
69	88	1169
70	88	1158
71	88	1146
72	89	1136
73	89	1125
74	90	1115
75	90	1106
76	91	1096
77	91	1086
78	92	1077
79	92	1068
80	93	1059
81	93	1051
82	94	1040
83	94	1031
84	95	1025
85	95	1017
86	96	1012
87	97	1009
88	98	1005
89	99	1006
90	100	1002
91	101	998
92	102	997
93	103	997
94	104	995
95	105	990
96	106	990
97	107	989
98	108	984
99	109	983
100	110	983
101	111	984
102	112	979
103	113	980
104	114	978
105	116	978
106	117	977
107	118	975
108	119	974
109	120	971
110	121	971
111	122	968
112	123	969
113	124	968
114	125	964
115	126	965
116	127	960
117	128	961
118	129	957
119	130	957
120	131	954
121	132	954
122	133	950
123	133	945
124	134	940
125	134	935
126	135	929
127	135	924
128	136	919
129	136	914
130	137	910
131	138	908
132	138	903
133	139	898
134	139	894
135	140	889
136	140	885
137	141	880
138	141	876
139	141	872
140	142	868
141	142	862
142	143	858
143	143	854
144	144	850
145	144	846
146	145	843
147	146	841
148	147	840
149	148	840
150	149	839
151	150	838
152	151	838
153	152	839
154	154	840
155	155	839
156	155	835
157	156	831
158	156	828
159	157	824
160	157	820
161	157	816
162	158	813
163	158	809
164	159	807
165	160	808
166	161	805
167	162	802
168	162	799
169	163	796
170	163	792
171	164	789
172	164	786
173	165	783
174	165	780
175	166	779
176	167	779
177	168	778
178	169	778
179	171	779
180	171	777
181	172	774
182	172	771
183	173	768
184	173	765
185	174	762
186	174	759
187	175	756
188	175	753
189	176	750
190	176	747
191	177	746
192	177	744
193	178	741
194	178	738
195	179	736
196	179	733
197	180	730
198	181	728
199	182	728
200	183	728
201	184	727
202	184	724
203	185	722
204	185	719
205	186	717
206	186	714
207	187	712
208	187	709
209	187	707
210	188	704
211	188	702
212	189	699
213	189	697
214	190	694
215	190	692
216	191	690
217	191	687
218	192	685
219	192	683
220	193	680
221	193	678
222	194	676
223	194	674
224	195	671
225	195	669
226	196	667
227	196	665
228	196	662
229	197	660
230	197	658
231	198	656
232	198	654
233	199	652
234	199	650
235	200	647
236	200	645
237	201	643
238	201	641
239	201	639
240	202	637
241	202	635
242	203	633
243	203	631
244	204	629
245	204	627
246	205	625
247	205	623
248	206	621
249	206	620
250	207	618
251	207	616
252	208	614
253	208	612
254	209	613
255	210	613
256	212	612
257	212	611
258	213	609
259	213	607
260	214	606
261	214	604
262	215	602
263	215	601
264	216	599
265	216	597
266	217	596
267	217	594
268	218	592
269	218	591
270	219	589
271	219	587
272	220	586
273	220	584
274	221	583
275	221	581
276	222	580
277	222	578
278	223	577
279	223	575
280	224	574
281	225	573
282	226	573
283	226	572
284	227	570
285	228	569
286	228	567
287	229	566
288	229	564
289	230	563
290	230	561
291	231	560
292	231	558
293	232	557
294	232	555
295	233	554
296	233	552
297	234	551
298	234	549
299	235	548
300	235	546
301	235	545
302	236	543
303	236	542
304	237	541
305	237	539
306	238	538
307	238	536
308	239	535
309	239	534
310	240	532
311	241	531
312	241	530
313	242	528
314	242	527
315	243	526
316	243	524
317	244	523
318	244	522
319	245	520
320	245	519
321	246	518
322	246	516
323	247	515
324	247	514
325	247	512
326	248	511
327	248	510
328	249	508
329	249	507
330	250	506
331	250	504
332	251	503
333	251	502
334	252	500
335	252	499
336	253	498
337	253	496
338	254	495
339	254	494
340	255	493
341	255	491
342	256	490
343	256	489
344	257	488
345	257	487
346	258	485
347	258	484
348	259	483
349	259	482
350	260	481
351	260	479
352	261	478
353	261	477
354	262	476
355	262	475
356	263	473
357	263	472
358	264	471
359	264	470
360	265	469
361	265	468
362	266	467
363	266	466
364	267	464
365	267	463
366	268	462
367	268	461
368	269	460
369	269	459
370	270	458
371	270	457
372	271	455
373	271	454
374	272	453
375	272	452
376	273	451
377	273	450
378	274	449
379	275	449
380	276	448
381	276	447
382	277	446
383	277	445
384	278	444
385	278	443
386	279	442
387	279	441
388	280	441
389	281	440
390	281	439
391	282	438
392	282	436
393	283	435
394	283	434
395	284	433
396	284	432
397	285	431
398	285	430
399	286	429
400	286	428
401	287	427
402	287	426
403	288	425
404	288	424
405	289	423
406	289	422
407	290	421
408	290	420
409	291	419
410	291	418
